,ISBN,titulo,autor,editora,data_publicacao,url_BNP
0,978-989-616-805-6,Biodiversidade,"Casetta, Elena",Gradiva,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-616-805-6
0,978-989-8145-88-8,Eu sou eu sei,"Pessoa, Ana, 1982-",Planeta Tangerina,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-8145-88-8
0,978-989-99943-1-7,"Mãe terra, terra mãe","Éffe, Fátima",Amoreira Azul,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-99943-1-7
0,978-989-8855-42-8,"Hora de deitar, Baltasar!","Ismail, Yasmeen",Booksmile, 2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-8855-42-8
0,978-989-99699-6-4,Mariana no caminho da igualdade,"Monteiro, Mariana, 1988-",Betweien,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-99699-6-4
0,978-989-99699-4-0,Rita e a floresta dos legumes,"Redshoes, Rita, pseud.",Betweien,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-99699-4-0
0,978-989-99699-0-2,Deixa o bullying Só!,"Só, João",Betweien,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-99699-0-2
0,978-989-99708-2-3,Poemas para as quatro estações,"Leitão, Manuela",Máquina de Voar,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-99708-2-3
0,978-972-793-215-3,Eu e a minha avó!,"Ritchie, Alison, 1956-",Minutos de Leitura,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-793-215-3
0,978-972-793-216-0,Com a tua pata na minha,"Chapman, Jane",Minutos de Leitura,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-793-216-0
0,978-989-99488-2-2,<O >mundo escrito a branco,"Ferreira, Maria José",AL - Publicações,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-99488-2-2
0,978-989-99488-3-9,Invulgar cão mula,"Gaspar, Filipe",AL - Publicações,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-99488-3-9
0,978-989-8868-06-0,Perdi-me no museu porque...,"Cali, Davide, 1972-",Orfeu Negro,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-8868-06-0
0,978-989-8868-07-7,Animais selvagens do norte,"Braun, Dieter, 1966-",Orfeu Negro,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-8868-07-7
0,978-989-8327-98-7,Triângulo,"Klassen, Jon, 1981-",Orfeu Negro,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-8327-98-7
0,978-989-8868-05-3,<A >minha mãe,"Servant, Stéphane",Orfeu Negro,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-8868-05-3
0,978-972-23-6101-9,Senhora tímida,"Hargreaves, Roger, 1935-1988",Presença,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-23-6101-9
0,978-972-23-6123-1,Senhor despachado,"Hargreaves, Roger, 1935-1988",Editorial Presença,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-23-6123-1
0,978-972-23-6132-3,Senhora troca-tudo,"Hargreaves, Roger, 1935-1988",Presença,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-23-6132-3
0,978-972-23-6052-4,"Olá, queres brincar?","Tullet, Hervé, 1958-",Presença,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-23-6052-4
0,978-989-98921-9-4,<O >anel da grande dama,"Keil, Maria, 1914-2012",Tcharan,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-98921-9-4
0,978-989-8145-81-9,Cá dentro,"Martins, Isabel Minhós, 1974-",Planeta Tangerina,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-8145-81-9
0,978-989-8145-84-0,Desenho livre,"Sandoval, Andrés, 1973-",Planeta Tangerina,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-8145-84-0
0,978-989-8145-83-3,Não é nada difícil,"Matoso, Madalena, 1974-",Planeta Tangerina,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-8145-83-3
0,978-989-8145-85-7,<A >orquestra,"Perarnau, Chloé",Planeta Tangerina,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-8145-85-7
0,978-989-8145-78-9,<A >bola amarela,"Fehr, Daniel",Planeta Tangerina,2017,http://urn.bn.pt/isbn/mods/xml?id=9789898145789
0,978-989-99998-1-7,Sonho,"Monteiro, Susa, 1979-",Pato Lógico,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-99998-1-7
0,978-989-99998-5-5,<A >nuvem,"Mendes, Rita Canas, 1984-",Pato Lógico,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-99998-5-5
0,978-989-99658-5-0,"Viseu, a minha cidade","Seixas, Ana",Pato Lógico,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-99658-5-0
0,978-989-648-920-5,<O >lobo que não gostava de ler,"Lallemand, Orianne, 1972-",08 Edições,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-648-920-5
0,978-989-671-393-5,<A >revolução russa,"Fitzpatrick, Sheila, 1941-",Tinta-da-China,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-671-393-5
0,978-972-793-220-7,"Cuidado, é um dragão!","Lambert, Jonny",Minutos de Leitura,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-793-220-7
0,978-989-99784-9-2,"Beatriz, a árvore feliz","Ferreira, Carmen Zita, 1974-",Trinta por uma Linha,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-99784-9-2
0,978-972-0-70579-2,Histórias das fadas das neves,"Machon, Corinne",Porto Editora,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-0-70579-2
0,978-972-23-6154-5,Monstros fantásticos e onde encontrá-los,"Rowling, J. K., 1965-",Presença,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-23-6154-5
0,978-989-8195-86-9,<As >canções do Professor Jorge,"Courela, Jorge, 1972-",Soregra,cop. 2016,http://urn.bn.pt/isbn/mods/xml?id=978-989-8195-86-9
0,978-989-8195.81-4,<Um >verdadeiro coração,"Condesso, João Pedro",Sorega,2016,http://urn.bn.pt/isbn/mods/xml?id=978-989-8195-81-4
0,978-989-8195-76-0,<Um >bilhete para Catarina,"Rosa, Maria Carolina Pereira",Soregra,D.L. 2015,http://urn.bn.pt/isbn/mods/xml?id=978-989-8195-76-0
0,978-972-793-218-4,<A >caixa das preocupações,"Chiew, Suzanne",Minutos de Leitura,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-793-218-4
0,978-972-793-214-6,<A >lagarta comilona,"Cain, Sheridan",Minutos de Leitura,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-793-214-6
0,978-972-793-219-1,<Um >dragão em brasa!,"Starling, Robert",Minutos de Leitura,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-793-219-1
0,978-972-23-6086-9,<Um >torneio em honra do imperador,"Stilton, Geronimo, pseud.",Presença,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-23-6086-9
0,978-972-23-6047-0,<O >castelo do Rei Artur,"Stilton, Geronimo, pseud.",Presença,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-23-6047-0
0,978-972-23-5995-5,<A >princesa adormecida,"Pimenta, Paula, 1975-",Presença,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-23-5995-5
0,978-989-641-741-3,<O >conto do Pedrito Coelho,"Potter, Beatrix, 1866-1943",Relógio d'Água,cop. 2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-641-741-3
0,978-972-23-6046-3,<A >minha prima Rachel,"Du Maurier, Daphne, 1907-1989",Presença,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-23-6046-3
0,978-972-8910-77-8,<As >flores também sonham,"Gonçalves, Celeste de Almeida, 1961-",Mar da Palavra,cop. 2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-8910-77-8
0,978-989-20-8215-8,Cuscas na Torre de Belém,"Santos, Paulo",Cuscas & Letras,D.L. 2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-20-8215-8
0,978-989-734-142-7,E o burro sou eu?,"Pereira, Henrique Miguel",Livro Directo,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-734-142-7
0,978-989-734-150-2,"<A >brincar, a brincar... vamos lá rimar","Parafita, Alexandre, 1956-",Livro Directo,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-734-150-2
0,978-989-8857-07-1,De que cor é um beijinho?,"Bonilla, Rocio, 1970-",Jacarandá,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-8857-07-1
0,978-989-616-794-3,<A >Mimi e o Marciano,"Goodhart, Pippa, 1958-",Gradiva,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-616-794-3
0,978-989-616-802-5,<A >Mimi e os dinossauros,"Thomas, Valerie, 1938-",Gradiva,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-616-802-5
0,978-989-99622-2-4,<Um >mundo depois de outro,,,,
0,978-989-99394-0-0,Tempo para pensar,Alunos do Colégio Pedro Arrupe,Cabeçudos - Fábrica de Histórias,2015,http://urn.bn.pt/isbn/mods/xml?id=978-989-99394-0-0
0,978-989-99394-4-8,<Os >humanos não inventaram tudo...,"Salgueiro, Raquel",Cabeçudos,2016,http://urn.bn.pt/isbn/mods/xml?id=978-989-99394-4-8
0,978-989-99622-3-1,"Longe de casa, perto do mundo",Colégio Pedro Arrupe,Cabeçudos - Fábrica de Histórias,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-99622-3-1
0,978-989-98355-7-3,Histórias de abril,Alunos do Colégio Campo das Flores,Cabeçudos - Fábrica de Histórias,2014,http://urn.bn.pt/isbn/mods/xml?id=978-989-98355-7-3
0,978-989-52-1108-1,Sage,"Dragon Child, pseud.",Chiado Editora,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-52-1108-1
0,978-989-644-334-4,<A >estranha ordem das coisas,"Damásio, António, 1944-",Temas e Debates,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-644334-4
0,978-989-641-773-4,Drácula,"Stoker, Bram, 1847-1912",Relógio d'Água,cop. 2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-641-773-4
0,978-989-722-400-3,<O >céu que nos protege,"Bowles, Paul, 1910-1999",Quetzal,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-722-400-3
0,978-972-0-70609-6,Perguntas e respostas sobre a ciência,"Daynes, Katie",Porto Editora,2017,http://urn.bn.pt/isbn/mods/xml?id=9789720706096
0,978-972-0-70613-3,Perguntas e respostas sobre a natureza,"Daynes, Katie",Porto Editora,2018,http://urn.bn.pt/isbn/mods/xml?id=9789720706133
0,978-972-0-70360-6,Perguntas e respostas sobre a alimentação,"Daynes, Katie",Porto Editora,2017,http://urn.bn.pt/isbn/mods/xml?id=9789720703606
0,978-972-37-1941-3,<O >conquistador,"Faria, Almeida, 1943-",Assírio & Alvim,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-37-1941-3
0,978-972-37-1961-1,Novelas policiárias,"Pessoa, Fernando, 1888-1935",Assírio & Alvim,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-37-1961-1
0,978-989-641-779-6,Jack e Alice ;,"Austen, Jane, 1775-1817",Relógio d'Água,cop. 2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-641-779-6
0,978-972-0-70340-8,Espreita perguntas be respostas sobre o espaço,"Daynes, Katie",Porto Editora,2016,http://urn.bn.pt/isbn/mods/xml?id=9789720703408
0,978-972-37-1976-5,<A >porta e outras ficções,"Pessoa, Fernando, 1888-1935",Assírio & Alvim,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-37-1976-5
0,978-972-38-3008-8,Contos e outros escritos,"Frank, Anne, 1929-1945",Livros do Brasil,2017,http://urn.bn.pt/isbn/mods/xml?id=9789723830088
0,978-972-23-5950-4,<O >tigre e o acrobata,"Tamaro, Susanna, 1957-",Editorial Presença,2017,http://urn.bn.pt/isbn/mods/xml?id=9789722359504
0,978-972-23-6071-5,Mitologia nórdica,"Gaiman, Neil, 1960-",Presença,2017,http://urn.bn.pt/isbn/mods/xml?id=9789722360715
0,978-972-23-5966-5,<O >pássaro da noite,"Hoffman, Alice, 1952-",Presença,2017,http://urn.bn.pt/isbn/mods/xml?id=9789722359665
0,972-708-574-1,Perto do coração selvagem,"Lispector, Clarice, 1920-1977",Relógio d'Água,cop. 2000,http://urn.bn.pt/isbn/mods/xml?id=972-708-574-1
0,978-972-23-6004-3,Quando a amizade me seguiu até casa,"Griffin, Paul",Presença,2017,http://urn.bn.pt/isbn/mods/xml?id=9789722360043
0,978-972-23-6099-9,Fabricante de bonecas de Cracóvia,"Romero, R. M.",Presença,2017,http://urn.bn.pt/isbn/mods/xml?id=9789722360999
0,978-972-53-0592-8,<O >grande livro dos insetos,"Zommer, Yuval",Editorial Bizâncio,2017,http://urn.bn.pt/isbn/mods/xml?id=9789725305928
0,978-972-53-0603-1,<O >grande livro dos oceanos,"Zommer, Yuval",Bizâncio,2018,http://urn.bn.pt/isbn/mods/xml?id=9789725306031
0,978-972-53-0596-6,<O >grande livro dos animais,"Zommer, Yuval",Bizâncio,2018,http://urn.bn.pt/isbn/mods/xml?id=9789725305966
0,978-972-23-6050-0,<A >história do Mundo para pessoas com pressa,"Marriott, Emma",Presença,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-23-6050-0
0,978-989-641-813-7,<Uma >princesinha,"Burnett, Frances, 1849-1924",Relógio d'Água,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-641-813-7
0,978-972-25-3352-2,Sensibilidade e bom senso,"Austen, Jane, 1775-1817",Bertrand,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-25-3352-2
0,978-989-641-744-4,<A > volta ao mundo em 80 dias,"Verne, Jules, 1828-1905",Relógio d'Água,cop. 2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-641-744-4
0,978-989-641-342-2,Laços de família,"Lispector, Clarice, 1920-1977",Relógio d'Água,2013,http://urn.bn.pt/isbn/mods/xml?id=978-989-641-342-2
0,978-989-707-415-8,Coisas de ir à mesa,"Letria, José Jorge, 1951-",Booksmile,2017,http://urn.bn.pt/isbn/mods/xml?id=9789897074158
0,978-989-8696-41-0,Mia,"Fortunato, Filipa",s.n.],2016,http://urn.bn.pt/isbn/mods/xml?id=9789898696410
0,978-972-0-04944-5,<O >fim da história,"Sepúlveda, Luis, 1949-2020",Porto Editora,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-0-04944-5
0,978-989-722-313-6,<O >livro de Emma Reyes,"Reyes, Emma, 1919-2003",Quetzal,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-722-313-6
0,978-972-53-0595-9,Porque é que os peixes não se afogam?,"Claybourne, Anna, 1969-",Bizâncio,2018,http://urn.bn.pt/isbn/mods/xml?id=9789725305959
0,978-989-616-778-3,Corpos,"Murphy, Glenn, 1957-",Gradiva Júnior,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-616-778-3
0,978-972-38-3029-3,Histórias do bom Deus e outros contos,"Rilke, Rainer Maria, 1875-1926",Porto Editora,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-38-3029-3
0,978-972-38-3042-2,<O >velho que lia romances de amor,"Sepúlveda, Luis, 1949-2020",Livros do Brasil,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-38-3042-2
0,978-989-23-3720-3,<O >ouvido de Lincoln,"Lambil, Willy, 1936-",ASA,2017,http://urn.bn.pt/isbn/mods/xml?id=9789892337203
0,978-989-8857-02-6,Guia de introdução à tabela periódica,"Arbuthnott, Gill",Presença,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-8857-02-6
0,978-989-774-839-4,<O >meu amigo Spirit,"Mitsak, Kvitoslava, 1998-",Chiado Editora,2017,http://urn.bn.pt/isbn/mods/xml?id=9789897748394
0,978-989-774-065-7,Joaninha e o gato Jeremias,"Lobo, Fernanda",Chiado Editora,2017,http://urn.bn.pt/isbn/mods/xml?id=9789897740657
0,978-989-774-529-4,Emigração,"Pinto, Marta, 1980-",Chiado Editora,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-774-529-4
0,978-989-774-231-6,Viagens pelas areias da praia,"Cunha, Carolina, 2008-",Chiado Editora,2016,http://urn.bn.pt/isbn/mods/xml?id=978-989-774-231-6
0,978-989-51-9844-3,Histórias da selva,"Meireles, Andreia",Chiado Editora Kids,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-51-9844-3
0,978-989-774-457-0,<A >borboleta teimosa,"Grossi, José Carlos, 1949-",Chiado Editora,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-774-457-0
0,978-989-52-1169-2,<A >fábrica da senhora Dona Cuca,"Abrunhosa, Sofia, 1970-",Chiado Editora Kids,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-52-1169-2
0,978-989-52-1422-8,<As >aventuras do Kite,"Furtado, Sofia, 1978-",Chiado Editora,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-52-1422-8
0,978-989-52-1270-5,Clareira dos afetos,"Simões, Vânia",Chiado Editora Kids,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-52-1270-5
0,978-989-774-875-2,<Os >chineses saltitões,"Roussel, André Pedro",Chiado Editora,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-774-875-2
0,978-989-51-9501-5,<O >João e a andorinha sábia,"Gonçalves, Ilda",Chiado Editora,2016,http://urn.bn.pt/isbn/mods/xml?id=978-989-51-9501-5
0,978-989-52-0012-2,<As >histórias de chicó,"D'Bastos, Maria",Chiado,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-52-0012-2
0,978-989-52-0912-5,<As >lagartixas da minha avó,"Lobato, Nazaré",Chiado Kids,2019,http://urn.bn.pt/isbn/mods/xml?id=978-989-52-0912-5
0,978-989-51-2510-4,Per-lim-pim-pim,"Carmona, Ana Raquel Ribeiro",Chiado Editora,2014,http://urn.bn.pt/isbn/mods/xml?id=978-989-51-2510-4
0,978-989-774-707-6,Gi na quinta mágica,"Martins, Joaquim",Chiado Editora,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-774-707-6
0,978-989-51-7108-8,<A >menina dos olhos grandes que não consegue estar calada ou parar quieta,"Guardiano, Micaela",Chiado Editora,2016,http://urn.bn.pt/isbn/mods/xml?id=978-989-51-7108-8
